Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 30.12.2019 o godzinie 19:47:23:268.
Program zakonczyl dzialanie o 30.12.2019 o godzinie 19:47:23:287.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 18 milisekund, 933 mikrosekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku hamlet.txt znaleziono 31952 slow, w tym 4790 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie posortowany alfabetycznie
oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|another_______________________________________|13_____________________________________|
|anothers______________________________________|1______________________________________|
|answer________________________________________|14_____________________________________|
|answerd_______________________________________|1______________________________________|
|answerest_____________________________________|1______________________________________|
|answers_______________________________________|1______________________________________|
|ant___________________________________________|2______________________________________|
|antic_________________________________________|1______________________________________|
|anticipation__________________________________|1______________________________________|
|antique_______________________________________|2______________________________________|
|antiquity_____________________________________|1______________________________________|
|any___________________________________________|12_____________________________________|
|anything______________________________________|5______________________________________|
|apart_________________________________________|2______________________________________|
|ape___________________________________________|2______________________________________|
|apiece________________________________________|1______________________________________|
|apoplexd______________________________________|1______________________________________|
|appal_________________________________________|1______________________________________|
|apparel_______________________________________|1______________________________________|
|apparition____________________________________|2______________________________________|
|appear________________________________________|3______________________________________|
|appeard_______________________________________|3______________________________________|
|appeareth_____________________________________|1______________________________________|
|appears_______________________________________|2______________________________________|
|appetite______________________________________|1______________________________________|
|applaud_______________________________________|1______________________________________|
|appliance_____________________________________|1______________________________________|
|appointment___________________________________|1______________________________________|
|apprehension__________________________________|2______________________________________|
|approaches____________________________________|1______________________________________|
|approve_______________________________________|2______________________________________|
|appurtenance__________________________________|1______________________________________|
|apt___________________________________________|2______________________________________|
|aptly_________________________________________|1______________________________________|
|ardour________________________________________|1______________________________________|
|are___________________________________________|132____________________________________|
|argal_________________________________________|3______________________________________|
|argues________________________________________|1______________________________________|
|argument______________________________________|4______________________________________|
|aright________________________________________|1______________________________________|
|arithmetic____________________________________|1______________________________________|
|arm___________________________________________|5______________________________________|
|armd__________________________________________|2______________________________________|
|armed_________________________________________|2______________________________________|
|armour________________________________________|3______________________________________|
|arms__________________________________________|10_____________________________________|
|army__________________________________________|2______________________________________|
|aroused_______________________________________|1______________________________________|
|arraign_______________________________________|1______________________________________|
|arrant________________________________________|2______________________________________|
|arras_________________________________________|6______________________________________|
|arrest________________________________________|1______________________________________|
|arrests_______________________________________|1______________________________________|
|arrivd________________________________________|1______________________________________|
|arrow_________________________________________|1______________________________________|
|arrows________________________________________|2______________________________________|
|art___________________________________________|17_____________________________________|
|article_______________________________________|2______________________________________|
|articles______________________________________|1______________________________________|
|artire________________________________________|1______________________________________|
|artless_______________________________________|1______________________________________|
|as____________________________________________|227____________________________________|
|ashamd________________________________________|1______________________________________|
|aside_________________________________________|19_____________________________________|
|ask___________________________________________|2______________________________________|
|askd__________________________________________|1______________________________________|
|asking________________________________________|2______________________________________|
|aslant________________________________________|1______________________________________|
|asleep________________________________________|2______________________________________|
|aspect________________________________________|1______________________________________|
|ass___________________________________________|5______________________________________|
|assail________________________________________|1______________________________________|
|assault_______________________________________|1______________________________________|
|assay_________________________________________|3______________________________________|
|assayd________________________________________|1______________________________________|
|assays________________________________________|1______________________________________|
|assigns_______________________________________|2______________________________________|
|assistant_____________________________________|2______________________________________|
|associates____________________________________|1______________________________________|
|assume________________________________________|4______________________________________|
|assurance_____________________________________|2______________________________________|
|assurd________________________________________|2______________________________________|
|assure________________________________________|1______________________________________|
|asunder_______________________________________|1______________________________________|
|at____________________________________________|87_____________________________________|
|attend________________________________________|1______________________________________|
|attendant_____________________________________|5______________________________________|
|attendants____________________________________|9______________________________________|
|attended______________________________________|1______________________________________|
|attends_______________________________________|1______________________________________|
|attent________________________________________|1______________________________________|
|attractive____________________________________|1______________________________________|
|attribute_____________________________________|1______________________________________|
|audience______________________________________|5______________________________________|
|audit_________________________________________|1______________________________________|
|aught_________________________________________|10_____________________________________|
|augury________________________________________|1______________________________________|
|auntmother____________________________________|1______________________________________|
|auspicious____________________________________|1______________________________________|
|author________________________________________|2______________________________________|
|authorities___________________________________|1______________________________________|
|avoid_________________________________________|3______________________________________|
|avouch________________________________________|1______________________________________|
|awake_________________________________________|2______________________________________|
|away__________________________________________|25_____________________________________|
|awe___________________________________________|2______________________________________|
|awhile________________________________________|10_____________________________________|
|awork_________________________________________|1______________________________________|
|awry__________________________________________|1______________________________________|
|axe___________________________________________|2______________________________________|
|ay____________________________________________|38_____________________________________|
|aye___________________________________________|1______________________________________|
|b_____________________________________________|4______________________________________|
|babe__________________________________________|1______________________________________|
|baby__________________________________________|2______________________________________|
|back__________________________________________|8______________________________________|
|backd_________________________________________|1______________________________________|
|backward______________________________________|1______________________________________|
|bad___________________________________________|7______________________________________|
|bade__________________________________________|1______________________________________|
|bait__________________________________________|1______________________________________|
|bakd__________________________________________|2______________________________________|
|bakers________________________________________|1______________________________________|
|ban___________________________________________|1______________________________________|
|bands_________________________________________|2______________________________________|
|bank__________________________________________|1______________________________________|
|baptista______________________________________|1______________________________________|
|bar___________________________________________|1______________________________________|
|barbary_______________________________________|2______________________________________|
|barbers_______________________________________|1______________________________________|
|bare__________________________________________|1______________________________________|
|barefacd______________________________________|1______________________________________|
|barefoot______________________________________|1______________________________________|
|bark__________________________________________|1______________________________________|
|barkd_________________________________________|1______________________________________|
|barrd_________________________________________|1______________________________________|
|barrel________________________________________|1______________________________________|
