Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:39:30:815.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:39:30:835.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 20 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku de-bello-gallico.txt znaleziono 20512 slow, w tym  5673 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|adsciscunt____________________________________|2______________________________________|
|adsue_________________________________________|1______________________________________|
|adsuefacti____________________________________|2______________________________________|
|adtectus______________________________________|1______________________________________|
|adulescens____________________________________|2______________________________________|
|adulescentem__________________________________|2______________________________________|
|adulescentiam_________________________________|1______________________________________|
|adulescentulo_________________________________|1______________________________________|
|adventu_______________________________________|13_____________________________________|
|adventum______________________________________|2______________________________________|
|adventumque___________________________________|1______________________________________|
|adventus______________________________________|2______________________________________|
|adversa_______________________________________|1______________________________________|
|adversae______________________________________|1______________________________________|
|adversis______________________________________|1______________________________________|
|adverso_______________________________________|1______________________________________|
|adversum______________________________________|2______________________________________|
|adversus______________________________________|3______________________________________|
|advertit______________________________________|1______________________________________|
|aedificari____________________________________|1______________________________________|
|aedificia_____________________________________|2______________________________________|
|aedificiis____________________________________|5______________________________________|
|aedificiisque_________________________________|3______________________________________|
|aegerrime_____________________________________|1______________________________________|
|aegre_________________________________________|2______________________________________|
|aemilii_______________________________________|1______________________________________|
|aequaliter____________________________________|1______________________________________|
|aequato_______________________________________|1______________________________________|
|aequinoctii___________________________________|1______________________________________|
|aequitate_____________________________________|1______________________________________|
|aequo_________________________________________|1______________________________________|
|aequum________________________________________|2______________________________________|
|aerariae______________________________________|1______________________________________|
|aere__________________________________________|1______________________________________|
|aestas________________________________________|1______________________________________|
|aestate_______________________________________|4______________________________________|
|aestatis______________________________________|2______________________________________|
|aestibus______________________________________|1______________________________________|
|aestimanda____________________________________|1______________________________________|
|aestu_________________________________________|2______________________________________|
|aestuaria_____________________________________|1______________________________________|
|aestuariis____________________________________|1______________________________________|
|aestus________________________________________|3______________________________________|
|aetatem_______________________________________|1______________________________________|
|aetatis_______________________________________|1______________________________________|
|afuturum______________________________________|1______________________________________|
|agat__________________________________________|1______________________________________|
|agebantur_____________________________________|1______________________________________|
|agenda________________________________________|1______________________________________|
|agendos_______________________________________|1______________________________________|
|agere_________________________________________|5______________________________________|
|agerent_______________________________________|1______________________________________|
|ageretur______________________________________|1______________________________________|
|aggere________________________________________|3______________________________________|
|aggerem_______________________________________|2______________________________________|
|aggeris_______________________________________|1______________________________________|
|aggerisque____________________________________|1______________________________________|
|agmen_________________________________________|8______________________________________|
|agmine________________________________________|6______________________________________|
|agminis_______________________________________|3______________________________________|
|agri__________________________________________|8______________________________________|
|agris_________________________________________|13_____________________________________|
|agro__________________________________________|1______________________________________|
|agrorum_______________________________________|1______________________________________|
|agros_________________________________________|12_____________________________________|
|agrosque______________________________________|1______________________________________|
|agrum_________________________________________|3______________________________________|
|alacer________________________________________|1______________________________________|
|alacriores____________________________________|1______________________________________|
|alacritas_____________________________________|2______________________________________|
|alacritate____________________________________|1______________________________________|
|alariis_______________________________________|1______________________________________|
|alarios_______________________________________|1______________________________________|
|alduas________________________________________|1______________________________________|
|alere_________________________________________|1______________________________________|
|alia__________________________________________|8______________________________________|
|aliae_________________________________________|5______________________________________|
|aliam_________________________________________|4______________________________________|
|alias_________________________________________|6______________________________________|
|alicuius______________________________________|1______________________________________|
|alienis_______________________________________|1______________________________________|
|alieno________________________________________|1______________________________________|
|alienos_______________________________________|1______________________________________|
|alienum_______________________________________|1______________________________________|
|alii__________________________________________|6______________________________________|
|aliique_______________________________________|1______________________________________|
|aliis_________________________________________|5______________________________________|
|alio__________________________________________|1______________________________________|
|aliqua________________________________________|1______________________________________|
|aliquam_______________________________________|1______________________________________|
|aliquanto_____________________________________|1______________________________________|
|aliquem_______________________________________|2______________________________________|
|aliquid_______________________________________|3______________________________________|
|aliquo________________________________________|1______________________________________|
|aliquos_______________________________________|1______________________________________|
|aliquot_______________________________________|3______________________________________|
|alit__________________________________________|1______________________________________|
|aliter________________________________________|2______________________________________|
|aliud_________________________________________|3______________________________________|
|alius_________________________________________|2______________________________________|
|allobrogas____________________________________|1______________________________________|
|allobroges____________________________________|2______________________________________|
|allobrogibus__________________________________|4______________________________________|
|allobrogibusque_______________________________|1______________________________________|
|allobrogum____________________________________|5______________________________________|
|alpes_________________________________________|4______________________________________|
|alpibus_______________________________________|1______________________________________|
|alpium________________________________________|1______________________________________|
|altera________________________________________|6______________________________________|
|alteram_______________________________________|4______________________________________|
|alteri________________________________________|2______________________________________|
|alterius______________________________________|3______________________________________|
|alterum_______________________________________|1______________________________________|
|altissimas____________________________________|2______________________________________|
|altissimis____________________________________|1______________________________________|
|altissimo_____________________________________|3______________________________________|
|altissimus____________________________________|1______________________________________|
|altitudine____________________________________|1______________________________________|
|altitudinem___________________________________|8______________________________________|
|altitudinemque________________________________|1______________________________________|
|altitudinis___________________________________|1______________________________________|
|altitudo______________________________________|3______________________________________|
|alto__________________________________________|2______________________________________|
|altum_________________________________________|1______________________________________|
|aluerunt______________________________________|1______________________________________|
|alunt_________________________________________|1______________________________________|
|alutaeque_____________________________________|1______________________________________|
|ambarri_______________________________________|1______________________________________|
|ambarros______________________________________|1______________________________________|
|ambianorum____________________________________|1______________________________________|
|ambianos______________________________________|1______________________________________|
|ambiliatos____________________________________|1______________________________________|
|ambivaritos___________________________________|1______________________________________|
|amentia_______________________________________|1______________________________________|
|amicissimum___________________________________|1______________________________________|
|amicitia______________________________________|4______________________________________|
|amicitiae_____________________________________|4______________________________________|
|amicitiam_____________________________________|11_____________________________________|
|amico_________________________________________|1______________________________________|
|amicos________________________________________|3______________________________________|
|amicus________________________________________|5______________________________________|
|amisisse______________________________________|1______________________________________|
|amissis_______________________________________|5______________________________________|
|amisso________________________________________|1______________________________________|
|amittendam____________________________________|1______________________________________|
|amore_________________________________________|1______________________________________|
|ampla_________________________________________|1______________________________________|
|amplificaturum________________________________|1______________________________________|
|amplissima____________________________________|1______________________________________|
|amplissime____________________________________|1______________________________________|
|amplissimo____________________________________|1______________________________________|
|amplitudinem__________________________________|1______________________________________|
|amplius_______________________________________|14_____________________________________|
|an____________________________________________|5______________________________________|
|ancipiti______________________________________|1______________________________________|
|ancorae_______________________________________|1______________________________________|
|ancoras_______________________________________|1______________________________________|
|ancoris_______________________________________|3______________________________________|
|andebrogium___________________________________|1______________________________________|
|andes_________________________________________|1______________________________________|
|andibus_______________________________________|1______________________________________|
|angustias_____________________________________|3______________________________________|
|angustiasque__________________________________|1______________________________________|
|angustiis_____________________________________|1______________________________________|
|angustior_____________________________________|1______________________________________|
|angustis______________________________________|1______________________________________|
|angusto_______________________________________|1______________________________________|
|angustos______________________________________|1______________________________________|
|angustum______________________________________|1______________________________________|
|animadverterat________________________________|1______________________________________|
|animadvertere_________________________________|1______________________________________|
|animadverteret________________________________|1______________________________________|
|animadverterunt_______________________________|1______________________________________|
|animadvertisset_______________________________|4______________________________________|
|animadvertit__________________________________|4______________________________________|
|animi_________________________________________|4______________________________________|
|animis________________________________________|2______________________________________|
|animo_________________________________________|7______________________________________|
|animos________________________________________|3______________________________________|
|animosque_____________________________________|1______________________________________|
|animum________________________________________|2______________________________________|
|animus________________________________________|2______________________________________|
|anni__________________________________________|5______________________________________|
|annis_________________________________________|2______________________________________|
|anno__________________________________________|3______________________________________|
|annos_________________________________________|8______________________________________|
|annum_________________________________________|1______________________________________|
|annus_________________________________________|1______________________________________|
|annuus________________________________________|1______________________________________|
|ante__________________________________________|23_____________________________________|
|antea_________________________________________|3______________________________________|
|antecedunt____________________________________|1______________________________________|
|antecesserant_________________________________|1______________________________________|
|antecessissent________________________________|1______________________________________|
|antemnae______________________________________|1______________________________________|
|antemnas______________________________________|1______________________________________|
|antemnis______________________________________|1______________________________________|
|anteponendas__________________________________|1______________________________________|
|antiquissimum_________________________________|1______________________________________|
|antiquitus____________________________________|2______________________________________|
|antiquum______________________________________|1______________________________________|
|aperta________________________________________|2______________________________________|
|apertis_______________________________________|1______________________________________|
|apertissimis__________________________________|1______________________________________|
|apertissimo___________________________________|1______________________________________|
|aperto________________________________________|7______________________________________|
|apertum_______________________________________|1______________________________________|
|apertus_______________________________________|1______________________________________|
|appellabatur__________________________________|2______________________________________|
|appellant_____________________________________|2______________________________________|
|appellantur___________________________________|2______________________________________|
|appellatis____________________________________|1______________________________________|
|appellatos____________________________________|2______________________________________|
|appellatur____________________________________|3______________________________________|
|appellatus____________________________________|4______________________________________|
|apr___________________________________________|1______________________________________|
|april_________________________________________|1______________________________________|
|aptiora_______________________________________|1______________________________________|
|apud__________________________________________|25_____________________________________|
|aquae_________________________________________|1______________________________________|
|aquam_________________________________________|1______________________________________|
|aquationis____________________________________|1______________________________________|
|aquilam_______________________________________|3______________________________________|
|aquileiam_____________________________________|1______________________________________|
|aquitani______________________________________|2______________________________________|
|aquitania_____________________________________|2______________________________________|
|aquitaniae____________________________________|3______________________________________|
|aquitaniam____________________________________|2______________________________________|
|aquitanis_____________________________________|1______________________________________|
|aquitanus_____________________________________|1______________________________________|
|arar__________________________________________|1______________________________________|
|arari_________________________________________|3______________________________________|
|ararim________________________________________|1______________________________________|
|arbitrabantur_________________________________|3______________________________________|
|arbitrabatur__________________________________|10_____________________________________|
|arbitrantur___________________________________|2______________________________________|
|arbitrarentur_________________________________|2______________________________________|
|arbitraretur__________________________________|1______________________________________|
|arbitrari_____________________________________|1______________________________________|
|arbitrati_____________________________________|1______________________________________|
|arbitratus____________________________________|6______________________________________|
|arbitrium_____________________________________|1______________________________________|
|arboribus_____________________________________|1______________________________________|
|arborum_______________________________________|1______________________________________|
|arcem_________________________________________|1______________________________________|
|arcessendi____________________________________|1______________________________________|
|arcesserentur_________________________________|1______________________________________|
|arcessitam____________________________________|1______________________________________|
|arcessiti_____________________________________|1______________________________________|
|arcessitum____________________________________|1______________________________________|
|arcessunt_____________________________________|1______________________________________|
|arcessuntur___________________________________|1______________________________________|
|arduus________________________________________|1______________________________________|
|arido_________________________________________|2______________________________________|
|aridum________________________________________|1______________________________________|
|aries_________________________________________|1______________________________________|
|ariete________________________________________|1______________________________________|
|ariovisti_____________________________________|11_____________________________________|
|ariovisto_____________________________________|2______________________________________|
|ariovistum____________________________________|10_____________________________________|
|ariovistus____________________________________|20_____________________________________|
|arma__________________________________________|13_____________________________________|
|armamentis____________________________________|1______________________________________|
|armamentisque_________________________________|1______________________________________|
|armandosque___________________________________|1______________________________________|
|armari________________________________________|1______________________________________|
|armata________________________________________|2______________________________________|
|armataeque____________________________________|1______________________________________|
|armatas_______________________________________|1______________________________________|
|armatis_______________________________________|1______________________________________|
|armatorum_____________________________________|2______________________________________|
|armatos_______________________________________|1______________________________________|
|armaturae_____________________________________|2______________________________________|
|armis_________________________________________|26_____________________________________|
|armisque______________________________________|2______________________________________|
|armorum_______________________________________|4______________________________________|
|arroganter____________________________________|1______________________________________|
|arrogantia____________________________________|1______________________________________|
|arrogantiam___________________________________|1______________________________________|
|artius________________________________________|1______________________________________|
|arvernis______________________________________|1______________________________________|
|arvernos______________________________________|2______________________________________|
|ascendere_____________________________________|2______________________________________|
|ascensus______________________________________|1______________________________________|
|at____________________________________________|10_____________________________________|
|atque_________________________________________|163____________________________________|
|atrebas_______________________________________|2______________________________________|
|atrebates_____________________________________|2______________________________________|
|atrebatibus___________________________________|2______________________________________|
|attigisset____________________________________|1______________________________________|
|attigit_______________________________________|1______________________________________|
|attingebant___________________________________|1______________________________________|
|attingit______________________________________|1______________________________________|
|attingunt_____________________________________|2______________________________________|
|attribuant____________________________________|1______________________________________|
|attribuit_____________________________________|1______________________________________|
|attributae____________________________________|1______________________________________|
|attulissent___________________________________|1______________________________________|
|attulit_______________________________________|1______________________________________|
|atuatuci______________________________________|1______________________________________|
|atuatucorum___________________________________|1______________________________________|
|atuatucos_____________________________________|2______________________________________|
|auctibus______________________________________|1______________________________________|
|auctiores_____________________________________|1______________________________________|
|auctores______________________________________|1______________________________________|
|auctoritas____________________________________|3______________________________________|
|auctoritate___________________________________|7______________________________________|
|auctoritatem__________________________________|2______________________________________|
|auctoritatis__________________________________|1______________________________________|
|audacia_______________________________________|1______________________________________|
|audacissime___________________________________|1______________________________________|
|audacius______________________________________|3______________________________________|
|audacter______________________________________|1______________________________________|
|audeat________________________________________|1______________________________________|
|audebat_______________________________________|1______________________________________|
|audent________________________________________|1______________________________________|
|audere________________________________________|2______________________________________|
|auderent______________________________________|5______________________________________|
|auderet_______________________________________|1______________________________________|
|audiebat______________________________________|2______________________________________|
|audiendos_____________________________________|1______________________________________|
|audiens_______________________________________|1______________________________________|
|audientes_____________________________________|2______________________________________|
|audierant_____________________________________|1______________________________________|
|audierit______________________________________|1______________________________________|
|audirent______________________________________|1______________________________________|
|audirentur____________________________________|1______________________________________|
|audita________________________________________|1______________________________________|
|auditionibus__________________________________|1______________________________________|
|auditis_______________________________________|1______________________________________|
|audito________________________________________|2______________________________________|
|auditum_______________________________________|1______________________________________|
|augerentur____________________________________|1______________________________________|
|augeri________________________________________|1______________________________________|
|aulerci_______________________________________|1______________________________________|
|aulercis______________________________________|1______________________________________|
|aulercos______________________________________|1______________________________________|
|aurigae_______________________________________|1______________________________________|
|aurunculeio___________________________________|1______________________________________|
|aurunculeium__________________________________|1______________________________________|
|ausci_________________________________________|1______________________________________|
|ausos_________________________________________|1______________________________________|
|aut___________________________________________|60_____________________________________|
|autem_________________________________________|16_____________________________________|
|auxilia_______________________________________|5______________________________________|
|auxiliandi____________________________________|1______________________________________|
|auxiliaresque_________________________________|1______________________________________|
|auxilii_______________________________________|4______________________________________|
|auxiliis______________________________________|3______________________________________|
|auxilio_______________________________________|5______________________________________|
|auxiliorum____________________________________|1______________________________________|
|auxilium______________________________________|17_____________________________________|
|auxisse_______________________________________|1______________________________________|
|avaritiam_____________________________________|1______________________________________|
|aventu________________________________________|1______________________________________|
|aversi________________________________________|1______________________________________|
