Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:41:58:337.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:41:58:513.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 176 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku faraon.txt znaleziono 203222 slow, w tym  30342 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|antagonizm____________________________________|1______________________________________|
|antef_________________________________________|14_____________________________________|
|antefa________________________________________|9______________________________________|
|antefa~~~_____________________________________|1______________________________________|
|antefie_______________________________________|2______________________________________|
|antefowi______________________________________|2______________________________________|
|antylopy______________________________________|1______________________________________|
|antylop~~_____________________________________|1______________________________________|
|anu___________________________________________|7______________________________________|
|anubis________________________________________|1______________________________________|
|anubisa_______________________________________|3______________________________________|
|anupa_________________________________________|3______________________________________|
|anu~~~________________________________________|1______________________________________|
|aod___________________________________________|1______________________________________|
|apati~~_______________________________________|1______________________________________|
|apatycznym____________________________________|1______________________________________|
|apetyt________________________________________|3______________________________________|
|apetytem______________________________________|1______________________________________|
|apetytu_______________________________________|2______________________________________|
|apis__________________________________________|6______________________________________|
|apisa_________________________________________|3______________________________________|
|apisem________________________________________|1______________________________________|
|apteki________________________________________|1______________________________________|
|arabskich_____________________________________|1______________________________________|
|arabskie______________________________________|3______________________________________|
|arabsk~~______________________________________|1______________________________________|
|arab~~w_______________________________________|2______________________________________|
|aram__________________________________________|2______________________________________|
|arcaby________________________________________|1______________________________________|
|archima_______________________________________|1______________________________________|
|architekci____________________________________|1______________________________________|
|architekt_____________________________________|2______________________________________|
|architektem___________________________________|1______________________________________|
|archiwach_____________________________________|1______________________________________|
|arcybystrym___________________________________|1______________________________________|
|arcykap~~an___________________________________|122____________________________________|
|arcykap~~ana__________________________________|28_____________________________________|
|arcykap~~anami________________________________|3______________________________________|
|arcykap~~anami~~~_____________________________|1______________________________________|
|arcykap~~anastronom___________________________|1______________________________________|
|arcykap~~ana~~~_______________________________|1______________________________________|
|arcykap~~anem_________________________________|13_____________________________________|
