Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|a~~urowe______________________________________|1______________________________________|
|a~~~~ka_______________________________________|7______________________________________|
|ba____________________________________________|3______________________________________|
|babi__________________________________________|1______________________________________|
|babia_________________________________________|1______________________________________|
|babie_________________________________________|1______________________________________|
|babi~~skie____________________________________|1______________________________________|
|babkami_______________________________________|1______________________________________|
|babska________________________________________|1______________________________________|
|baby__________________________________________|1______________________________________|
|bachmaty~~____________________________________|1______________________________________|
|bachurki~~____________________________________|1______________________________________|
|baczenie______________________________________|1______________________________________|
|baczni________________________________________|1______________________________________|
|baczno~~ci____________________________________|1______________________________________|
|bada__________________________________________|1______________________________________|
|badacz________________________________________|1______________________________________|
|badali________________________________________|1______________________________________|
|bada~~________________________________________|4______________________________________|
|badyle________________________________________|1______________________________________|
|badyl~~w______________________________________|2______________________________________|
|bagien________________________________________|1______________________________________|
|bagna_________________________________________|1______________________________________|
|bagnami_______________________________________|1______________________________________|
|bagnet________________________________________|3______________________________________|
|bagnetach_____________________________________|1______________________________________|
|bagnetem______________________________________|1______________________________________|
|bagnety_______________________________________|3______________________________________|
|bagnet~~w_____________________________________|2______________________________________|
|bagniska______________________________________|1______________________________________|
|bailey________________________________________|1______________________________________|
|baja~~________________________________________|1______________________________________|
|bajeczne______________________________________|1______________________________________|
|bajesz________________________________________|1______________________________________|
|bajka_________________________________________|1______________________________________|
|bajki_________________________________________|1______________________________________|
|baka__________________________________________|2______________________________________|
|baki__________________________________________|1______________________________________|
|bakier________________________________________|1______________________________________|
|baldachim_____________________________________|1______________________________________|
|baldakimu_____________________________________|1______________________________________|
|bale__________________________________________|1______________________________________|
|balon_________________________________________|1______________________________________|
|baltazar______________________________________|1______________________________________|
|balu__________________________________________|1______________________________________|
|banit~~_______________________________________|1______________________________________|
|bani~~________________________________________|1______________________________________|
|bankiecie_____________________________________|1______________________________________|
|bankowym______________________________________|2______________________________________|
|baran_________________________________________|2______________________________________|
|baranek_______________________________________|1______________________________________|
|baranem_______________________________________|1______________________________________|
|barany________________________________________|1______________________________________|
|barbarzy~~stwa________________________________|1______________________________________|
|bardziej______________________________________|7______________________________________|
|bardzo________________________________________|55_____________________________________|
|barkami_______________________________________|1______________________________________|
|barki_________________________________________|2______________________________________|
