Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|aleja_________________________________________|1______________________________________|
|alejach_______________________________________|4______________________________________|
|alejami_______________________________________|1______________________________________|
|aleje_________________________________________|2______________________________________|
|alejkami______________________________________|1______________________________________|
|alejki________________________________________|2______________________________________|
|alejk~~_______________________________________|2______________________________________|
|alej~~________________________________________|1______________________________________|
|aleksandra____________________________________|1______________________________________|
|aleksandrowa__________________________________|1______________________________________|
|aleksandrowie_________________________________|1______________________________________|
|alem__________________________________________|2______________________________________|
|ale~~_________________________________________|23_____________________________________|
|ale~~~________________________________________|14_____________________________________|
|algebraiczne__________________________________|1______________________________________|
|alkoholu______________________________________|1______________________________________|
|altanki_______________________________________|1______________________________________|
|altany________________________________________|1______________________________________|
|altruistyczne_________________________________|1______________________________________|
|amant_________________________________________|1______________________________________|
|amarantowych__________________________________|2______________________________________|
|amator________________________________________|1______________________________________|
|amatorem______________________________________|1______________________________________|
|amatorki______________________________________|1______________________________________|
|amatorskie____________________________________|1______________________________________|
|amatorsku_____________________________________|1______________________________________|
|amatorzy______________________________________|1______________________________________|
|amator~~w_____________________________________|1______________________________________|
|ambicja_______________________________________|4______________________________________|
|ambicji_______________________________________|1______________________________________|
|ambony________________________________________|1______________________________________|
|ambry_________________________________________|2______________________________________|
|ambulatorium__________________________________|2______________________________________|
|ameby_________________________________________|1______________________________________|
|amen__________________________________________|2______________________________________|
|amen~~~_______________________________________|2______________________________________|
|ameryka~~skie_________________________________|3______________________________________|
|ameryka~~skiej________________________________|1______________________________________|
|ameryka~~skim_________________________________|1______________________________________|
|ameryka~~~____________________________________|1______________________________________|
|ameryki_______________________________________|2______________________________________|
|ametystami____________________________________|1______________________________________|
|ametyst~~w____________________________________|1______________________________________|
|amfiladzie____________________________________|2______________________________________|
|amfilad~~_____________________________________|1______________________________________|
|amfi~~owa_____________________________________|1______________________________________|
|amfor_________________________________________|1______________________________________|
|amor__________________________________________|1______________________________________|
|amora_________________________________________|1______________________________________|
